modelo,fpr,tpr
SNA - Regresión Logística,0.002546916890080429,0.029411764705882353
SNA - Regresión Logística,0.002546916890080429,0.029809220985691574
SNA - Regresión Logística,0.0025915996425379803,0.029809220985691574
SNA - Regresión Logística,0.0025915996425379803,0.031001589825119236
SNA - Regresión Logística,0.002680965147453083,0.031001589825119236
SNA - Regresión Logística,0.002680965147453083,0.031399046104928455
SNA - Regresión Logística,0.002815013404825737,0.031399046104928455
SNA - Regresión Logística,0.002815013404825737,0.0321939586645469
SNA - Regresión Logística,0.00290437890974084,0.0321939586645469
SNA - Regresión Logística,0.00290437890974084,0.03259141494435612
SNA - Regresión Logística,0.0029490616621983914,0.03259141494435612
SNA - Regresión Logística,0.0029490616621983914,0.03298887122416534
SNA - Regresión Logística,0.0030384271671134943,0.03298887122416534
SNA - Regresión Logística,0.0030384271671134943,0.033783783783783786
SNA - Regresión Logística,0.003127792672028597,0.033783783783783786
SNA - Regresión Logística,0.003127792672028597,0.03418124006359301
SNA - Regresión Logística,0.0032171581769436996,0.03418124006359301
SNA - Regresión Logística,0.0032171581769436996,0.03457869634340222
SNA - Regresión Logística,0.003351206434316354,0.03457869634340222
SNA - Regresión Logística,0.003351206434316354,0.035373608903020666
SNA - Regresión Logística,0.0036639857015192136,0.035373608903020666
SNA - Regresión Logística,0.0036639857015192136,0.03616852146263911
SNA - Regresión Logística,0.0037533512064343165,0.03616852146263911
SNA - Regresión Logística,0.0037533512064343165,0.03656597774244833
SNA - Regresión Logística,0.003842716711349419,0.03656597774244833
SNA - Regresión Logística,0.003842716711349419,0.03696343402225755
SNA - Regresión Logística,0.003976764968722073,0.03696343402225755
SNA - Regresión Logística,0.003976764968722073,0.037360890302066775
SNA - Regresión Logística,0.0042448614834673815,0.037360890302066775
SNA - Regresión Logística,0.0042448614834673815,0.037758346581876
SNA - Regresión Logística,0.004378909740840035,0.037758346581876
SNA - Regresión Logística,0.004378909740840035,0.03815580286168521
SNA - Regresión Logística,0.004557640750670241,0.03815580286168521
SNA - Regresión Logística,0.004557640750670241,0.038553259141494434
SNA - Regresión Logística,0.004691689008042895,0.038553259141494434
SNA - Regresión Logística,0.004691689008042895,0.0397456279809221
SNA - Regresión Logística,0.004870420017873101,0.0397456279809221
SNA - Regresión Logística,0.004870420017873101,0.04014308426073132
SNA - Regresión Logística,0.0051831992850759605,0.04014308426073132
SNA - Regresión Logística,0.0051831992850759605,0.040937996820349765
