modelo,precision,recall
SNA - Regresión Logística,0.1008058017727639,0.994435612082671
SNA - Regresión Logística,0.10080986341109634,0.994435612082671
SNA - Regresión Logística,0.10081392537674269,0.994435612082671
SNA - Regresión Logística,0.10081798766974251,0.994435612082671
SNA - Regresión Logística,0.1008220502901354,0.994435612082671
SNA - Regresión Logística,0.10082611323796091,0.994435612082671
SNA - Regresión Logística,0.10083017651325864,0.994435612082671
SNA - Regresión Logística,0.10083424011606819,0.994435612082671
SNA - Regresión Logística,0.10083830404642914,0.994435612082671
SNA - Regresión Logística,0.10084236830438112,0.994435612082671
SNA - Regresión Logística,0.10084643288996373,0.994435612082671
SNA - Regresión Logística,0.10085049780321657,0.994435612082671
SNA - Regresión Logística,0.1008545630441793,0.994435612082671
SNA - Regresión Logística,0.10085862861289152,0.994435612082671
SNA - Regresión Logística,0.10086269450939289,0.994435612082671
SNA - Regresión Logística,0.10086676073372304,0.994435612082671
SNA - Regresión Logística,0.10087082728592163,0.994435612082671
SNA - Regresión Logística,0.10087489416602831,0.994435612082671
SNA - Regresión Logística,0.10087896137408274,0.994435612082671
SNA - Regresión Logística,0.10088302891012459,0.994435612082671
SNA - Regresión Logística,0.10088709677419355,0.994435612082671
SNA - Regresión Logística,0.10089116496632929,0.994435612082671
SNA - Regresión Logística,0.10089523348657149,0.994435612082671
SNA - Regresión Logística,0.10089930233495988,0.994435612082671
SNA - Regresión Logística,0.10090337151153411,0.994435612082671
SNA - Regresión Logística,0.10090744101633393,0.994435612082671
SNA - Regresión Logística,0.10087117851093007,0.9940381558028617
SNA - Regresión Logística,0.10087524704553705,0.9940381558028617
SNA - Regresión Logística,0.10087931590835754,0.9940381558028617
SNA - Regresión Logística,0.10088338509943125,0.9940381558028617
SNA - Regresión Logística,0.1008874546187979,0.9940381558028617
SNA - Regresión Logística,0.10089152446649724,0.9940381558028617
SNA - Regresión Logística,0.10089559464256899,0.9940381558028617
SNA - Regresión Logística,0.1008996651470529,0.9940381558028617
SNA - Regresión Logística,0.10090373597998871,0.9940381558028617
SNA - Regresión Logística,0.10090780714141617,0.9940381558028617
SNA - Regresión Logística,0.10091187863137509,0.9940381558028617
SNA - Regresión Logística,0.10091595044990517,0.9940381558028617
SNA - Regresión Logística,0.10092002259704624,0.9940381558028617
SNA - Regresión Logística,0.10092409507283806,0.9940381558028617
SNA - Regresión Logística,0.10092816787732042,0.9940381558028617
SNA - Regresión Logística,0.10093224101053311,0.9940381558028617
SNA - Regresión Logística,0.10093631447251594,0.9940381558028617
SNA - Regresión Logística,0.10094038826330871,0.9940381558028617
SNA - Regresión Logística,0.10094446238295124,0.9940381558028617
SNA - Regresión Logística,0.10094853683148335,0.9940381558028617
SNA - Regresión Logística,0.10095261160894486,0.9940381558028617
SNA - Regresión Logística,0.10095668671537561,0.9940381558028617
SNA - Regresión Logística,0.10096076215081544,0.9940381558028617
SNA - Regresión Logística,0.10096483791530418,0.9940381558028617
SNA - Regresión Logística,0.10096891400888171,0.9940381558028617
SNA - Regresión Logística,0.10097299043158788,0.9940381558028617
SNA - Regresión Logística,0.10097706718346253,0.9940381558028617
SNA - Regresión Logística,0.10098114426454556,0.9940381558028617
SNA - Regresión Logística,0.10098522167487685,0.9940381558028617
SNA - Regresión Logística,0.10098929941449626,0.9940381558028617
SNA - Regresión Logística,0.10099337748344371,0.9940381558028617
SNA - Regresión Logística,0.10099745588175908,0.9940381558028617
SNA - Regresión Logística,0.10100153460948227,0.9940381558028617
SNA - Regresión Logística,0.1010056136666532,0.9940381558028617
SNA - Regresión Logística,0.1010096930533118,0.9940381558028617
SNA - Regresión Logística,0.10101377276949797,0.9940381558028617
SNA - Regresión Logística,0.10101785281525164,0.9940381558028617
SNA - Regresión Logística,0.10102193319061276,0.9940381558028617
SNA - Regresión Logística,0.10102601389562127,0.9940381558028617
SNA - Regresión Logística,0.1010300949303171,0.9940381558028617
SNA - Regresión Logística,0.10103417629474025,0.9940381558028617
SNA - Regresión Logística,0.10103825798893064,0.9940381558028617
SNA - Regresión Logística,0.10104234001292825,0.9940381558028617
