id_nodo,en_triangulo,comparte_contacto,representante_compartido,componente_cerrado,banderas_rojas
N-14611,0.0,0.0,0.0,0.0,0.0
P-02446,0.0,0.0,0.0,0.0,0.0
N-11948,0.0,0.0,0.0,0.0,0.0
P-00242,0.0,0.0,0.0,0.0,0.0
UT-29469,0.0,0.0,0.0,0.0,0.0
P-34460,0.0,0.0,0.0,0.0,0.0
P-40895,0.0,0.0,0.0,0.0,0.0
P-48514,0.0,0.0,0.0,0.0,0.0
N-20234,0.0,0.0,0.0,0.0,0.0
N-32417,0.0,0.0,1.0,0.0,0.25
N-22686,0.0,0.0,0.0,0.0,0.0
P-21500,0.0,0.0,0.0,0.0,0.0
P-33838,0.0,0.0,0.0,0.0,0.0
P-39437,0.0,0.0,0.0,0.0,0.0
P-14374,0.0,1.0,1.0,0.0,0.5
N-20625,0.0,0.0,0.0,0.0,0.0
N-35675,0.0,0.0,0.0,0.0,0.0
P-10998,0.0,0.0,0.0,0.0,0.0
P-14689,0.0,0.0,0.0,0.0,0.0
P-50110,0.0,0.0,0.0,0.0,0.0
UT-36943,1.0,1.0,1.0,0.0,0.75
P-38544,0.0,0.0,0.0,0.0,0.0
P-11812,0.0,0.0,0.0,0.0,0.0
UT-29803,1.0,0.0,0.0,0.0,0.25
P-04169,0.0,0.0,0.0,0.0,0.0
N-25346,0.0,0.0,0.0,0.0,0.0
P-36178,0.0,0.0,0.0,0.0,0.0
P-17600,0.0,0.0,0.0,0.0,0.0
P-27667,1.0,0.0,0.0,0.0,0.25
P-14725,0.0,0.0,0.0,0.0,0.0
P-23785,0.0,0.0,0.0,0.0,0.0
P-05612,0.0,0.0,0.0,0.0,0.0
P-35747,0.0,0.0,0.0,0.0,0.0
N-15525,0.0,0.0,0.0,0.0,0.0
N-03369,0.0,0.0,0.0,0.0,0.0
N-27309,0.0,0.0,0.0,0.0,0.0
P-11154,0.0,0.0,0.0,0.0,0.0
P-19118,0.0,0.0,0.0,0.0,0.0
P-13782,0.0,0.0,1.0,0.0,0.25
N-16530,0.0,0.0,0.0,0.0,0.0
P-36903,0.0,0.0,0.0,0.0,0.0
P-30192,0.0,0.0,0.0,0.0,0.0
N-04226,0.0,0.0,0.0,0.0,0.0
P-15712,0.0,0.0,0.0,0.0,0.0
N-33298,0.0,0.0,0.0,0.0,0.0
P-22227,0.0,0.0,0.0,0.0,0.0
N-35846,0.0,0.0,0.0,0.0,0.0
P-48556,0.0,0.0,0.0,0.0,0.0
P-44859,0.0,0.0,0.0,0.0,0.0
P-03331,0.0,0.0,0.0,0.0,0.0
N-28707,0.0,0.0,0.0,0.0,0.0
P-09421,0.0,0.0,0.0,0.0,0.0
P-33914,0.0,0.0,0.0,0.0,0.0
P-19352,0.0,0.0,0.0,0.0,0.0
P-17240,0.0,0.0,0.0,0.0,0.0
N-09989,0.0,0.0,0.0,0.0,0.0
P-15093,0.0,0.0,0.0,0.0,0.0
P-02746,0.0,1.0,0.0,0.0,0.25
P-39497,0.0,0.0,0.0,0.0,0.0
UT-21568,1.0,1.0,0.0,0.0,0.5
P-20799,0.0,1.0,0.0,0.0,0.25
P-02584,0.0,0.0,0.0,0.0,0.0
UT-2930,1.0,0.0,0.0,0.0,0.25
N-04952,0.0,0.0,0.0,0.0,0.0
P-23224,1.0,1.0,0.0,0.0,0.5
P-08466,0.0,1.0,1.0,0.0,0.5
UT-44918,0.0,0.0,0.0,0.0,0.0
P-38067,0.0,0.0,0.0,0.0,0.0
P-34617,0.0,0.0,0.0,0.0,0.0
UT-22757,0.0,0.0,0.0,0.0,0.0
N-10400,0.0,0.0,0.0,0.0,0.0
N-23071,0.0,0.0,0.0,0.0,0.0
N-37019,0.0,0.0,0.0,0.0,0.0
P-49367,0.0,1.0,1.0,0.0,0.5
P-12747,0.0,0.0,0.0,0.0,0.0
P-43571,0.0,1.0,1.0,0.0,0.5
P-01997,0.0,0.0,0.0,0.0,0.0
P-40642,0.0,0.0,0.0,0.0,0.0
P-14373,0.0,0.0,0.0,0.0,0.0
P-14502,0.0,0.0,0.0,0.0,0.0
P-31971,0.0,0.0,0.0,0.0,0.0
UT-8472,0.0,0.0,1.0,0.0,0.25
N-31791,0.0,0.0,0.0,0.0,0.0
P-07499,0.0,0.0,0.0,0.0,0.0
N-18173,0.0,0.0,1.0,0.0,0.25
P-18228,0.0,1.0,0.0,0.0,0.25
P-31165,0.0,0.0,0.0,0.0,0.0
N-12693,0.0,1.0,0.0,0.0,0.25
P-20288,0.0,0.0,0.0,0.0,0.0
P-01059,0.0,0.0,0.0,0.0,0.0
P-19925,0.0,0.0,0.0,0.0,0.0
N-12528,0.0,0.0,0.0,1.0,0.25
N-24096,0.0,0.0,0.0,0.0,0.0
P-46927,0.0,0.0,1.0,0.0,0.25
N-36468,0.0,0.0,0.0,0.0,0.0
P-22855,0.0,1.0,0.0,0.0,0.25
P-20683,0.0,0.0,0.0,0.0,0.0
N-32142,0.0,0.0,0.0,0.0,0.0
P-24249,0.0,0.0,0.0,0.0,0.0
P-07999,0.0,0.0,0.0,0.0,0.0
P-19651,0.0,0.0,0.0,0.0,0.0
P-50058,0.0,0.0,0.0,0.0,0.0
P-40679,1.0,0.0,0.0,0.0,0.25
P-43807,0.0,0.0,0.0,0.0,0.0
UT-1130,0.0,1.0,0.0,0.0,0.25
N-15468,0.0,0.0,0.0,0.0,0.0
P-40214,0.0,0.0,0.0,0.0,0.0
N-36467,0.0,0.0,0.0,0.0,0.0
UT-35039,0.0,1.0,0.0,0.0,0.25
P-11097,0.0,0.0,0.0,0.0,0.0
P-07469,0.0,0.0,0.0,0.0,0.0
P-40533,0.0,0.0,0.0,0.0,0.0
P-05148,0.0,0.0,0.0,0.0,0.0
P-20845,0.0,1.0,0.0,0.0,0.25
N-17703,0.0,0.0,0.0,0.0,0.0
P-25195,0.0,0.0,0.0,0.0,0.0
N-11593,0.0,0.0,0.0,0.0,0.0
P-01477,0.0,0.0,0.0,0.0,0.0
P-40719,0.0,0.0,0.0,0.0,0.0
N-00850,0.0,0.0,0.0,0.0,0.0
P-17374,0.0,0.0,0.0,0.0,0.0
UT-16935,0.0,0.0,0.0,0.0,0.0
P-12985,0.0,0.0,1.0,0.0,0.25
P-20232,0.0,0.0,0.0,0.0,0.0
P-30547,0.0,0.0,0.0,0.0,0.0
N-04015,1.0,1.0,0.0,0.0,0.5
N-26001,0.0,0.0,0.0,0.0,0.0
P-51224,0.0,0.0,0.0,0.0,0.0
P-26936,0.0,1.0,0.0,0.0,0.25
P-50724,0.0,0.0,0.0,0.0,0.0
P-13734,0.0,0.0,0.0,0.0,0.0
P-13078,1.0,0.0,0.0,0.0,0.25
P-42640,0.0,0.0,0.0,0.0,0.0
P-43640,0.0,0.0,0.0,0.0,0.0
P-37628,0.0,0.0,0.0,0.0,0.0
N-00561,0.0,0.0,0.0,0.0,0.0
UT-6088,0.0,1.0,1.0,0.0,0.5
P-09604,0.0,0.0,0.0,0.0,0.0
P-43251,0.0,0.0,0.0,0.0,0.0
P-41947,0.0,0.0,0.0,0.0,0.0
P-26731,0.0,0.0,0.0,0.0,0.0
P-14792,0.0,0.0,0.0,0.0,0.0
P-14658,0.0,0.0,0.0,0.0,0.0
P-39429,0.0,0.0,0.0,0.0,0.0
P-00618,1.0,0.0,0.0,0.0,0.25
N-01603,0.0,0.0,0.0,0.0,0.0
P-50994,0.0,0.0,0.0,0.0,0.0
P-27763,0.0,0.0,0.0,0.0,0.0
N-06258,0.0,0.0,0.0,0.0,0.0
N-27334,0.0,0.0,0.0,0.0,0.0
N-36492,0.0,0.0,0.0,0.0,0.0
N-03978,0.0,0.0,0.0,0.0,0.0
N-17867,0.0,0.0,0.0,0.0,0.0
P-32493,0.0,0.0,0.0,0.0,0.0
P-24267,0.0,0.0,0.0,0.0,0.0
P-30305,0.0,0.0,1.0,0.0,0.25
N-35352,0.0,0.0,0.0,0.0,0.0
P-34716,0.0,0.0,0.0,0.0,0.0
P-38985,0.0,0.0,0.0,0.0,0.0
P-40637,0.0,0.0,0.0,0.0,0.0
P-34229,0.0,0.0,0.0,0.0,0.0
N-14360,0.0,0.0,0.0,0.0,0.0
N-07079,0.0,0.0,0.0,0.0,0.0
N-30669,0.0,0.0,0.0,0.0,0.0
P-13840,0.0,0.0,0.0,0.0,0.0
N-17682,0.0,0.0,0.0,0.0,0.0
N-08061,0.0,0.0,0.0,0.0,0.0
P-01163,0.0,0.0,0.0,0.0,0.0
N-04529,0.0,1.0,0.0,0.0,0.25
N-13655,0.0,0.0,0.0,0.0,0.0
P-37665,0.0,1.0,1.0,0.0,0.5
P-41405,0.0,0.0,0.0,0.0,0.0
P-37863,0.0,0.0,0.0,0.0,0.0
N-24001,0.0,0.0,0.0,0.0,0.0
N-14185,0.0,0.0,0.0,0.0,0.0
N-28519,0.0,0.0,0.0,0.0,0.0
P-46233,0.0,0.0,0.0,0.0,0.0
P-23825,0.0,0.0,0.0,0.0,0.0
N-13975,0.0,0.0,0.0,0.0,0.0
P-38644,0.0,0.0,0.0,0.0,0.0
P-11027,0.0,0.0,0.0,0.0,0.0
N-13379,0.0,0.0,0.0,0.0,0.0
N-30438,0.0,0.0,0.0,0.0,0.0
P-20467,0.0,0.0,0.0,0.0,0.0
P-16839,0.0,0.0,0.0,0.0,0.0
P-30757,0.0,0.0,0.0,0.0,0.0
N-13541,0.0,0.0,0.0,0.0,0.0
P-50630,0.0,0.0,0.0,0.0,0.0
P-38022,0.0,0.0,0.0,0.0,0.0
N-11513,0.0,0.0,0.0,0.0,0.0
